discussion_tier,priority_score,cnae_class,cnae_name,trade_value_usd,import_value_usd,export_value_usd,trade_balance_usd,domestic_production_value_brl_thousand,external_dependency_ratio,transition_relevance,rationale
3 - monitorar,0.17069067899697254,2865,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos",152242178.0,126344031.0,25898147.0,-100445884.0,1462152.0,0.3399857168424059,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.17028225854166615,2861,"Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta",98728579.0,70337674.0,28390905.0,-41946769.0,880120.0,0.3428208165760629,True,depend?ncia externa alta; relevante para transi??o energ?tica
3 - monitorar,0.16868373758814934,1422,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",131262825.0,127409199.0,3853626.0,-123555573.0,159026.0,0.8324763105045608,False,depend?ncia externa muito alta
3 - monitorar,0.1669931144367738,2732,Fabricação de material elétrico para instalações em circuito de consumo,871712756.112358,759460412.7800363,112252343.33232167,-647208069.4477147,12605569.0,0.2544231091607743,True,relevante para transi??o energ?tica
3 - monitorar,0.1668423612411111,2621,Fabricação de equipamentos de informática,1014178143.0,968946391.0,45231752.0,-923714639.0,16960138.0,0.2381211796223989,True,relevante para transi??o energ?tica
3 - monitorar,0.164782857401856,2219,Fabricação de artefatos de borracha não especificados anteriormente,951082551.8485626,773511745.6009225,177570806.2476401,-595940939.3532823,14463051.0,0.2359526727359684,True,relevante para transi??o energ?tica
3 - monitorar,0.16189963477923294,2110,Fabricação de produtos farmoquímicos,1367888149.2437978,1293108441.058307,74779708.18549085,-1218328732.872816,3471758.0,0.6943986876814541,False,depend?ncia externa muito alta
3 - monitorar,0.1617774123903848,2522,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",200577703.0,171669762.0,28907941.0,-142761821.0,2413984.0,0.290740092911278,True,relevante para transi??o energ?tica
3 - monitorar,0.16171867757991149,2449,Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente,930198868.9905586,496047651.80024,434151217.1903187,-61896434.60992128,11468132.0,0.2266331466101779,True,relevante para transi??o energ?tica
3 - monitorar,0.16066557538575765,2032,Fabricação de resinas termofixas,772289034.5652542,643133545.6894205,129155488.87583378,-513978056.8135867,12212506.0,0.2314344124828884,True,relevante para transi??o energ?tica
3 - monitorar,0.1604151947061031,2949,Fabricação de peças e acessórios para veículos automotores não especificados anteriormente,1865265514.3714247,1473802428.7643738,391463085.6070509,-1082339343.157323,83278502.0,0.0891747908139511,True,relevante para transi??o energ?tica
3 - monitorar,0.1596245638482462,2592,Fabricação de produtos de trefilados de metal,1126656010.1169574,914206166.4911958,212449843.62576157,-701756322.8654343,22128469.0,0.1902341630904038,True,relevante para transi??o energ?tica
3 - monitorar,0.1583302013094438,2920,Fabricação de caminhões e ônibus,2139049842.7196207,933739839.4022936,1205310003.317327,271570163.91503334,95569324.0,0.0535012957937015,True,relevante para transi??o energ?tica
3 - monitorar,0.15803955082544083,2422,Produção de laminados planos de aço,1814485345.5311024,1299642489.236276,514842856.29482657,-784799632.9414496,74531299.0,0.0889719467270738,True,relevante para transi??o energ?tica
3 - monitorar,0.15761548713328902,2731,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,916025956.887642,730115446.2199637,185910510.66767836,-544204935.5522853,16603691.0,0.201493681296103,True,relevante para transi??o energ?tica
3 - monitorar,0.15731033402838085,2011,Fabricação de cloro e álcalis,391160794.9144729,389264470.9779604,1896323.936512464,-387368147.041448,6322868.0,0.2495279645621993,True,relevante para transi??o energ?tica
3 - monitorar,0.15702033803944734,2640,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",1069397407.3393185,1002184792.3573472,67212614.9819713,-934972177.375376,25235073.0,0.1784817909037784,True,relevante para transi??o energ?tica
3 - monitorar,0.15312451016255438,2421,Produção de semi-acabados de aço,2570205273.525574,193594382.57341307,2376610890.9521613,2183016508.3787484,74868510.0,0.0165436273359975,True,relevante para transi??o energ?tica
3 - monitorar,0.15161136996631197,2831,Fabricação de tratores agrícolas,895005091.6820322,620816063.019548,274189028.66248417,-346627034.3570639,17447858.0,0.1732914812707689,True,relevante para transi??o energ?tica
3 - monitorar,0.1488094328639892,2319,Fabricação de artigos de vidro,333349995.5174232,256755734.4905116,76594261.0269116,-180161473.4636,5528512.0,0.2129911732871694,True,relevante para transi??o energ?tica
3 - monitorar,0.14734319830554488,2439,Produção de outros tubos de ferro e aço,356187306.8061075,330076281.0513214,26111025.754786134,-303965255.29653525,7165101.0,0.2021534641448088,True,relevante para transi??o energ?tica
3 - monitorar,0.14668938931252107,2412,Produção de ferroligas,2405157315.0,108106306.0,2297051009.0,2188944703.0,31554123.0,0.0295125377365605,True,relevante para transi??o energ?tica
3 - monitorar,0.14587105015592552,3092,Fabricação de bicicletas e triciclos não-motorizados,146520216.0,143434647.0,3085569.0,-140349078.0,2837816.0,0.215157767961452,True,relevante para transi??o energ?tica
3 - monitorar,0.14440193651294403,2013,Fabricação de adubos e fertilizantes,1145684239.732879,1038328295.9509676,107355943.7819114,-930972352.1690562,102553393.0,0.052045325619861,True,relevante para transi??o energ?tica
3 - monitorar,0.14376821400201661,2221,Fabricação de laminados planos e tubulares de material plástico,1080059717.0,839917830.0,240141887.0,-599775943.0,41887840.0,0.1003693605888217,True,relevante para transi??o energ?tica
3 - monitorar,0.1412891296394477,3012,Construção de embarcações para esporte e lazer,98485304.0,75648363.0,22836941.0,-52811422.0,1784101.0,0.1971602622314811,True,relevante para transi??o energ?tica
3 - monitorar,0.14062874254749658,2823,Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,431391931.28428,333726550.4160142,97665380.86826582,-236061169.5477484,9911053.0,0.1608972830776804,True,relevante para transi??o energ?tica
3 - monitorar,0.1392831846741511,2824,Fabricação de aparelhos e equipamentos de ar condicionado,571767968.0,525703583.0,46064385.0,-479639198.0,18263883.0,0.1359514544193333,True,relevante para transi??o energ?tica
3 - monitorar,0.1392019521542387,2022,"Fabricação de intermediários para plastificantes, resinas e fibras",509586216.521125,456586023.5854986,53000192.935626425,-403585830.6498722,15022300.0,0.1431478067035008,True,relevante para transi??o energ?tica
3 - monitorar,0.1385987016936375,3091,Fabricação de motocicletas,815630795.5783839,698631467.429869,116999328.1485149,-581632139.2813542,34091986.0,0.1011877158409247,True,relevante para transi??o energ?tica
