cnae_key,cnae_class,tsb_associated,tsb_cnae5_count,tsb_cnae5_list,tsb_scn67_list,tsb_setor_scn67_list,tsb_exposicao_scn67_max,tsb_grupo_exposicao,tsb_leitura_tecnica
63,1340,False,0,,,,0.0,Sem exposicao TSB direta,
64,1351,False,0,,,,0.0,Sem exposicao TSB direta,
65,1352,False,0,,,,0.0,Sem exposicao TSB direta,
66,1353,False,0,,,,0.0,Sem exposicao TSB direta,
67,1354,False,0,,,,0.0,Sem exposicao TSB direta,
68,1359,False,0,,,,0.0,Sem exposicao TSB direta,
69,1411,False,0,,,,0.0,Sem exposicao TSB direta,
70,1412,False,0,,,,0.0,Sem exposicao TSB direta,
71,1413,False,0,,,,0.0,Sem exposicao TSB direta,
72,1414,False,0,,,,0.0,Sem exposicao TSB direta,
73,1421,False,0,,,,0.0,Sem exposicao TSB direta,
74,1422,False,0,,,,0.0,Sem exposicao TSB direta,
75,1510,False,0,,,,0.0,Sem exposicao TSB direta,
76,1521,False,0,,,,0.0,Sem exposicao TSB direta,
77,1529,False,0,,,,0.0,Sem exposicao TSB direta,
78,1531,False,0,,,,0.0,Sem exposicao TSB direta,
79,1532,False,0,,,,0.0,Sem exposicao TSB direta,
80,1533,False,0,,,,0.0,Sem exposicao TSB direta,
81,1539,False,0,,,,0.0,Sem exposicao TSB direta,
82,1540,False,0,,,,0.0,Sem exposicao TSB direta,
83,1610,False,0,,,,0.0,Sem exposicao TSB direta,
84,1621,False,0,,,,0.0,Sem exposicao TSB direta,
85,1622,False,0,,,,0.0,Sem exposicao TSB direta,
86,1623,False,0,,,,0.0,Sem exposicao TSB direta,
87,1629,False,0,,,,0.0,Sem exposicao TSB direta,
88,1710,True,1,17109,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
89,1721,True,1,17214,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
90,1722,True,1,17222,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
91,1731,True,1,17311,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
92,1732,True,1,17320,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
93,1733,True,1,17338,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
94,1741,True,1,17419,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
95,1742,True,1,17427,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
96,1749,True,1,17494,1700,"Fabricação de celulose, papel e produtos de papel",0.9998999999999999,Alta exposicao TSB,Exposição praticamente integral no recorte analisado.
97,1811,False,0,,,,0.0,Sem exposicao TSB direta,
98,1812,False,0,,,,0.0,Sem exposicao TSB direta,
99,1813,False,0,,,,0.0,Sem exposicao TSB direta,
100,1821,False,0,,,,0.0,Sem exposicao TSB direta,
101,1822,False,0,,,,0.0,Sem exposicao TSB direta,
102,1830,False,0,,,,0.0,Sem exposicao TSB direta,
103,1910,False,0,,,,0.0,Sem exposicao TSB direta,
104,1921,False,0,,,,0.0,Sem exposicao TSB direta,
105,1922,False,0,,,,0.0,Sem exposicao TSB direta,
106,1931,True,1,19314,1992,Fabricação de biocombustíveis,1.0,Alta exposicao TSB,Setor diretamente associado à transição energética.
107,1932,True,1,19322,1992,Fabricação de biocombustíveis,1.0,Alta exposicao TSB,Setor diretamente associado à transição energética.
108,2011,True,1,20118,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
109,2012,True,1,20126,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
110,2013,False,0,,,,0.0,Sem exposicao TSB direta,
111,2014,True,1,20142,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
112,2019,True,1,20193,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
113,2021,True,1,20215,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
114,2022,True,1,20223,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
115,2029,True,1,20291,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
116,2031,True,1,20312,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
117,2032,True,1,20321,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
118,2033,True,1,20339,2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.6944,Exposicao intermediaria TSB,"Exposição elevada, mas ainda não integral."
119,2040,False,0,,,,0.0,Sem exposicao TSB direta,
120,2051,False,0,,,,0.0,Sem exposicao TSB direta,
121,2052,False,0,,,,0.0,Sem exposicao TSB direta,
122,2061,False,0,,,,0.0,Sem exposicao TSB direta,
123,2062,False,0,,,,0.0,Sem exposicao TSB direta,
124,2063,False,0,,,,0.0,Sem exposicao TSB direta,
125,2071,False,0,,,,0.0,Sem exposicao TSB direta,
126,2072,False,0,,,,0.0,Sem exposicao TSB direta,
127,2073,False,0,,,,0.0,Sem exposicao TSB direta,
128,2091,False,0,,,,0.0,Sem exposicao TSB direta,
129,2092,False,0,,,,0.0,Sem exposicao TSB direta,
130,2093,True,1,20932,2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",0.12210000000000001,Exposicao intermediaria TSB,Exposição marginal e dependente de subatividades específicas.
